DATE,LFACTTTTUSM657S
01 01 87,0.197283557
01 02 87,0.233076697
01 03 87,0.124242373
01 04 87,0.055336631
01 05 87,0.563115908
01 06 87,-0.303313112
01 07 87,0.215639731
01 08 87,0.346950009
01 09 87,-0.255157167
01 10 87,0.414961962
01 11 87,0.02572422
01 12 87,0.156794425
01 01 88,0.198792337
01 02 88,0.154585059
01 03 88,-0.200567863
01 04 88,0.279539834
01 05 88,-0.148452384
01 06 88,0.332036574
01 07 88,0.158059816
01 08 88,0.378087371
01 09 88,-0.135107472
01 10 88,0.201705477
01 11 88,0.352683174
01 12 88,-0.012231219
01 01 89,0.626315017
01 02 89,-0.206661804
01 03 89,0.074714744
01 04 89,0.274290537
01 05 89,-0.07364545
01 06 89,0.42195118
01 07 89,-0.022581556
01 08 89,0.160526592
01 09 89,-0.178792906
01 10 89,0.215419867
01 11 89,0.342964794
01 12 89,-0.112326195
01 01 90,1.073118228
01 02 90,-0.097748603
01 03 90,0.072388831
01 04 90,-0.120825749
01 05 90,0.194191756
01 06 90,-0.254184109
01 07 90,0.126619576
01 08 90,0.205198358
01 09 90,-0.077783951
01 10 90,0.08181616
01 11 90,0.059526172
01 12 90,0.057111129
01 01 91,-0.148245628
01 02 91,0.051605732
01 03 91,0.172988415
01 04 91,0.245567896
01 05 91,-0.293959604
01 06 91,0.122844281
01 07 91,-0.140108129
01 08 91,-0.003170728
01 09 91,0.396353547
01 10 91,-0.006316621
01 11 91,0.04658802
01 12 91,-0.029202611
01 01 92,0.471325712
01 02 92,-0.042432481
01 03 92,0.312089743
01 04 92,0.185730855
01 05 92,0.217457623
01 06 92,0.265378281
01 07 92,0.080959684
01 08 92,0.038891438
01 09 92,-0.087082954
01 10 92,-0.369646929
01 11 92,0.324152906
01 12 92,0.087978138
01 01 93,-0.119794017
01 02 93,0.04517134
01 03 93,0.108985038
01 04 93,-0.010886639
01 05 93,0.52883718
01 06 93,0.113720758
01 07 93,-0.010818246
01 08 93,0.171565029
01 09 93,-0.270793634
01 10 93,0.23594393
01 11 93,0.10650367
01 12 93,0.177317267
01 01 94,0.504074926
01 02 94,0.055897577
01 03 94,-0.205863671
01 04 94,0.169478528
01 05 94,0.120960642
01 06 94,-0.166693429
01 07 94,0.069699221
01 08 94,0.476839237
01 09 94,0.111216911
01 10 94,0.245775028
01 11 94,0.111580034
01 12 94,0.045492111
01 01 95,0.065933566
01 02 95,0.058316545
01 03 95,-0.005298414
01 04 95,0.364852999
01 05 95,-0.557357267
01 06 95,0.074326323
01 07 95,0.298600217
01 08 95,-0.005289286
01 09 95,0.207804377
01 10 95,0.079178952
01 11 95,-0.076855843
01 12 95,-0.077669024
01 01 96,0.079238705
01 02 96,0.253363093
01 03 96,0.171490463
01 04 96,0.17194774
01 05 96,0.193390251
01 06 96,0.022443834
01 07 96,0.439052484
01 08 96,-0.171278782
01 09 96,0.343891268
01 10 96,0.301825075
01 11 96,0.063741004
01 12 96,0.078514447
01 01 97,0.253861583
01 02 97,-0.041341838
01 03 97,0.362629247
01 04 97,0.091985488
01 05 97,0.075726385
01 06 97,0.067587919
01 07 97,0.195285256
01 08 97,0.103314112
01 09 97,0.041722174
01 10 97,-0.030729834
01 11 97,0.240059137
01 12 97,0.141646162
01 01 98,-0.043746127
01 02 98,0.01240016
01 03 98,0.090437015
01 04 98,-0.062665773
01 05 98,0.161866569
01 06 98,0.060419882
01 07 98,0.096758939
01 08 98,-0.013082536
01 09 98,0.52046231
01 10 98,-0.005061973
01 11 98,0.073763912
01 12 98,0.182828568
01 01 99,0.266168472
01 02 99,-0.025898722
01 03 99,-0.170544086
01 04 99,0.165068839
01 05 99,0.106506236
01 06 99,0.159589381
01 07 99,0.078949824
01 08 99,-0.006454435
01 09 99,0.137703507
01 10 99,0.106716707
01 11 99,0.181725823
01 12 99,0.108552044
01 01 00,1.490972128
01 02 00,0.132848798
01 03 00,-0.015443365
01 04 00,0.22255922
01 05 00,-0.254288937
01 06 00,0.142568194
01 07 00,-0.219508945
01 08 00,0.165872447
01 09 00,0.002806742
01 10 00,0.072973238
01 11 00,0.238392394
01 12 00,0.200053161
01 01 01,0.385345694
01 02 01,-0.068845619
01 03 01,0.155183332
01 04 01,-0.246657958
01 05 01,-0.174828828
01 06 01,0.027212213
01 07 01,0.207175094
01 08 01,-0.257563312
01 09 01,0.492029815
01 10 01,0.067366257
01 11 01,0.106880613
01 12 01,0.045063783
01 01 02,-0.29243616
01 02 02,0.535157037
01 03 02,-0.118905242
01 04 02,0.168880337
01 05 02,0.147175678
01 06 02,-0.089693524
01 07 02,-0.003452848
01 08 02,0.142262246
01 09 02,0.374459516
01 10 02,-0.163515445
01 11 02,-0.187869028
01 12 02,0.017236506
01 01 03,0.600416362
01 02 03,0.111692031
01 03 03,-0.05338809
01 04 03,0.309542398
01 05 03,0.017750591
01 06 03,0.379522184
01 07 03,-0.388287455
01 08 03,-0.02730655
01 09 03,0.058042268
01 10 03,0.126936464
01 11 03,0.193571253
01 12 03,-0.184353741
01 01 04,0.077012724
01 02 04,-0.090573542
01 03 04,0.160181039
01 04 04,-0.063969948
01 05 04,0.146407899
01 06 04,0.268588719
01 07 04,0.157330802
01 08 04,-0.086666847
01 09 04,-0.100973137
01 10 04,0.256418953
01 11 04,0.24967353
01 12 04,-0.0695185
01 01 05,-0.020262193
01 02 05,0.226307007
01 03 05,0.018198485
01 04 05,0.360533995
01 05 05,0.224943932
01 06 05,-0.01540925
01 07 05,0.129993701
01 08 05,0.232212645
01 09 05,0.116838809
01 10 05,0.031342945
01 11 05,0.042666382
01 12 05,-0.023323227
01 01 06,0.122642138
01 02 06,0.284261121
01 03 06,0.114178743
01 04 06,0.045088951
01 05 06,0.124601507
01 06 06,0.188655515
01 07 06,0.015196163
01 08 06,0.223944192
01 09 06,-0.035592818
01 10 06,0.249897799
01 11 06,0.240066824
01 12 06,0.21390234
01 01 07,0.269753555
01 02 07,-0.105129812
01 03 07,0.044449383
01 04 07,-0.402480219
01 05 07,0.15416407
01 06 07,0.243007795
01 07 07,0.008494456
01 08 07,-0.199276072
01 09 07,0.435354732
01 10 07,-0.150572959
01 11 07,0.425634698
01 12 07,0.053953912
01 01 08,0.094206006
01 02 08,-0.266124897
01 03 08,0.165958361
01 04 08,-0.090313694
01 05 08,0.347274158
01 06 08,0.006480755
01 07 08,0.101093233
01 08 08,0.111349203
01 09 08,-0.045912792
01 10 08,0.197968558
01 11 08,-0.153025646
01 12 08,0.010346678
01 01 09,-0.287737222
01 02 09,0.212696972
01 03 09,-0.262071465
01 04 09,0.243945164
01 05 09,0.154036334
01 06 09,-0.020032699
01 07 09,-0.13831795
01 08 09,-0.126211958
01 09 09,-0.311068195
01 10 09,-0.02795348
01 11 09,0.061124694
01 12 09,-0.498446822
01 01 10,0.24361411
01 02 10,0.136822079
01 03 10,0.169167306
01 04 10,0.433895839
01 05 10,-0.343418142
01 06 10,-0.308259405
01 07 10,0.048823039
01 08 10,0.257009194
01 09 10,-0.072037693
01 10 10,-0.220815067
01 11 10,0.318937742
01 12 10,-0.308191403
01 01 11,-0.251871136
01 02 11,-0.031971187
01 03 11,0.105734463
01 04 11,0.108882746
01 05 11,-0.041682135
01 06 11,-0.086656806
01 07 11,-0.037822962
01 08 11,0.307917123
01 09 11,0.24128512
01 10 11,-0.110295787
01 11 11,0.108469028
01 12 11,-0.086291913
01 01 12,0.250657489
01 02 12,0.18784695
01 03 12,0.050429622
01 04 12,-0.131826377
01 05 12,0.207706493
01 06 12,0.140121137
01 07 12,-0.08705016
01 08 12,-0.119394894
01 09 12,0.256521262
01 10 12,0.253931426
01 11 12,-0.138858531
01 12 12,0.18668967
01 01 13,0.086745316
01 02 13,-0.289542446
01 03 13,-0.197666632
01 04 13,0.250959646
01 05 13,0.09138062
01 06 13,0.136945787
01 07 13,-0.096308805
01 08 13,0.003856066
01 09 13,0.052697535
01 10 13,-0.651306789
01 11 13,0.382742948
01 12 13,-0.053456993
01 01 14,0.109548788
01 02 14,0.084324631
01 03 14,0.350520636
01 04 14,-0.422360089
01 05 14,0.202743147
01 06 14,0.014773516
01 07 14,0.192669565
01 08 14,0.078842616
01 09 14,-0.057644271
01 10 14,0.241604717
01 11 14,0.049227386
01 12 14,-0.103518346
01 01 15,0.446485684
01 02 15,-0.245812902
01 03 15,-0.00063839
01 04 15,0.266210428
01 05 15,0.376289316
01 06 15,-0.373610063
01 07 15,-0.041384931
01 08 15,0.111467098
01 09 15,-0.279311837
01 10 15,0.276904034
01 11 15,0.188334701
01 12 15,0.36325994
01 01 16,0.155028949
01 02 16,0.227445034
01 03 16,0.339762985
01 04 16,-0.023872496
01 05 16,-0.224329368
01 06 16,0.115250907
01 07 16,0.142796933
01 08 16,0.231164491
01 09 16,0.095260776
01 10 16,-0.068246991
01 11 16,-0.062028132
01 12 16,0.107832934
01 01 17,-0.0363231
01 02 17,0.14973061
01 03 17,0.173903252
01 04 17,0.129888783
01 05 17,-0.172752502
01 06 17,0.077467076
01 07 17,0.168547743
01 08 17,0.077276863
01 09 17,0.344986487
01 10 17,-0.515700633
01 11 17,0.16842473
01 12 17,-0.027400843
01 01 18,0.236085589
01 02 18,0.536932772
01 03 18,-0.056868054
01 04 18,0.052571033
01 05 18,0.047598148
01 06 18,0.22366665
01 07 18,0.080759509
01 08 18,-0.419487375
01 09 18,0.264134603
01 10 18,0.317730601
01 11 18,0.143909669
01 12 18,0.227222482
01 01 19,-0.145827972
01 02 19,0.033748957
01 03 19,-0.052753292
01 04 19,-0.210510811
01 05 19,0.099634673
01 06 19,0.194770085
01 07 19,0.282082258
01 08 19,0.140644396
01 09 19,0.191740503
01 10 19,0.21636183
01 11 19,0.07358665
01 12 19,0.091763748
01 01 20,-0.216145327
01 02 20,0.066931146
01 03 20,-1.108489706
01 04 20,-3.890306515
01 05 20,1.125342273
01 06 20,1.159634838
01 07 20,0.126328956
01 08 20,0.387253126
01 09 20,-0.309851794
01 10 20,0.449370881
01 11 20,-0.159682871
01 12 20,0.043562952
01 01 21,-0.455345646
01 02 21,0.101234182
01 03 21,0.172298626
01 04 21,0.277322498
01 05 21,-0.104407488
01 06 21,0.281199453
01 07 21,0.182391186
01 08 21,0.030343188
01 09 21,0.005571548
01 10 21,0.121329173
01 11 21,0.355508841
01 12 21,0.058528171
01 01 22,0.753032449
01 02 22,0.139947321
01 03 22,0.267908362
01 04 22,-0.213632297
01 05 22,0.200060994
01 06 22,-0.168007889
01 07 22,-0.007316984
01 08 22,0.441490335
01 09 22,-0.057675729
01 10 22,0.016401509
01 11 22,-0.072276278
01 12 22,0.266825506
01 01 23,0.524956658
01 02 23,0.252665348
01 03 23,0.288720068
01 04 23,-0.025790045
01 05 23,0.077990017
01 06 23,0.079727607
01 07 23,0.091044678
01 08 23,0.44044691
