DATE,PERMIT1
1960-01-01,846
1960-02-01,868
1960-03-01,729
1960-04-01,778
1960-05-01,758
1960-06-01,749
1960-07-01,732
1960-08-01,732
1960-09-01,704
1960-10-01,711
1960-11-01,707
1960-12-01,688
1961-01-01,703
1961-02-01,673
1961-03-01,699
1961-04-01,687
1961-05-01,706
1961-06-01,716
1961-07-01,741
1961-08-01,747
1961-09-01,738
1961-10-01,766
1961-11-01,768
1961-12-01,774
1962-01-01,717
1962-02-01,741
1962-03-01,706
1962-04-01,746
1962-05-01,710
1962-06-01,704
1962-07-01,717
1962-08-01,725
1962-09-01,718
1962-10-01,690
1962-11-01,700
1962-12-01,702
1963-01-01,695
1963-02-01,699
1963-03-01,738
1963-04-01,777
1963-05-01,740
1963-06-01,771
1963-07-01,752
1963-08-01,756
1963-09-01,784
1963-10-01,771
1963-11-01,735
1963-12-01,714
1964-01-01,708
1964-02-01,820
1964-03-01,737
1964-04-01,688
1964-05-01,727
1964-06-01,710
1964-07-01,709
1964-08-01,714
1964-09-01,713
1964-10-01,705
1964-11-01,731
1964-12-01,699
1965-01-01,728
1965-02-01,687
1965-03-01,674
1965-04-01,684
1965-05-01,707
1965-06-01,696
1965-07-01,709
1965-08-01,724
1965-09-01,701
1965-10-01,749
1965-11-01,737
1965-12-01,741
1966-01-01,739
1966-02-01,631
1966-03-01,711
1966-04-01,647
1966-05-01,589
1966-06-01,574
1966-07-01,544
1966-08-01,505
1966-09-01,467
1966-10-01,446
1966-11-01,442
1966-12-01,458
1967-01-01,577
1967-02-01,564
1967-03-01,570
1967-04-01,606
1967-05-01,636
1967-06-01,673
1967-07-01,675
1967-08-01,697
1967-09-01,701
1967-10-01,707
1967-11-01,695
1967-12-01,701
1968-01-01,679
1968-02-01,711
1968-03-01,691
1968-04-01,675
1968-05-01,665
1968-06-01,654
1968-07-01,689
1968-08-01,700
1968-09-01,738
1968-10-01,717
1968-11-01,729
1968-12-01,688
1969-01-01,683
1969-02-01,707
1969-03-01,665
1969-04-01,662
1969-05-01,634
1969-06-01,642
1969-07-01,595
1969-08-01,591
1969-09-01,591
1969-10-01,589
1969-11-01,585
1969-12-01,587
1970-01-01,486
1970-02-01,558
1970-03-01,557
1970-04-01,611
1970-05-01,602
1970-06-01,623
1970-07-01,648
1970-08-01,684
1970-09-01,702
1970-10-01,717
1970-11-01,710
1970-12-01,854
1971-01-01,796
1971-02-01,776
1971-03-01,844
1971-04-01,865
1971-05-01,939
1971-06-01,923
1971-07-01,960
1971-08-01,911
1971-09-01,907
1971-10-01,918
1971-11-01,969
1971-12-01,994
1972-01-01,1115
1972-02-01,992
1972-03-01,1000
1972-04-01,1008
1972-05-01,961
1972-06-01,1018
1972-07-01,1027
1972-08-01,1074
1972-09-01,1050
1972-10-01,1150
1972-11-01,1033
1972-12-01,1034
1973-01-01,1108
1973-02-01,1074
1973-03-01,992
1973-04-01,938
1973-05-01,957
1973-06-01,932
1973-07-01,897
1973-08-01,825
1973-09-01,812
1973-10-01,689
1973-11-01,691
1973-12-01,665
1974-01-01,675
1974-02-01,727
1974-03-01,786
1974-04-01,714
1974-05-01,667
1974-06-01,657
1974-07-01,621
1974-08-01,614
1974-09-01,578
1974-10-01,560
1974-11-01,543
1974-12-01,535
1975-01-01,527
1975-02-01,528
1975-03-01,532
1975-04-01,616
1975-05-01,657
1975-06-01,671
1975-07-01,697
1975-08-01,726
1975-09-01,763
1975-10-01,786
1975-11-01,805
1975-12-01,810
1976-01-01,855
1976-02-01,865
1976-03-01,838
1976-04-01,832
1976-05-01,830
1976-06-01,846
1976-07-01,877
1976-08-01,878
1976-09-01,917
1976-10-01,967
1976-11-01,1029
1976-12-01,1028
1977-01-01,996
1977-02-01,1091
1977-03-01,1140
1977-04-01,1089
1977-05-01,1107
1977-06-01,1121
1977-07-01,1125
1977-08-01,1156
1977-09-01,1137
1977-10-01,1159
1977-11-01,1176
1977-12-01,1161
1978-01-01,1186
1978-02-01,1112
1978-03-01,1160
1978-04-01,1279
1978-05-01,1178
1978-06-01,1254
1978-07-01,1146
1978-08-01,1113
1978-09-01,1150
1978-10-01,1182
1978-11-01,1176
1978-12-01,1247
1979-01-01,959
1979-02-01,935
1979-03-01,1139
1979-04-01,1062
1979-05-01,1067
1979-06-01,1041
1979-07-01,989
1979-08-01,989
1979-09-01,965
1979-10-01,901
1979-11-01,770
1979-12-01,777
1980-01-01,786
1980-02-01,733
1980-03-01,576
1980-04-01,476
1980-05-01,508
1980-06-01,650
1980-07-01,772
1980-08-01,846
1980-09-01,881
1980-10-01,824
1980-11-01,819
1980-12-01,745
1981-01-01,693
1981-02-01,702
1981-03-01,690
1981-04-01,686
1981-05-01,654
1981-06-01,565
1981-07-01,543
1981-08-01,512
1981-09-01,461
1981-10-01,401
1981-11-01,411
1981-12-01,458
1982-01-01,444
1982-02-01,445
1982-03-01,473
1982-04-01,467
1982-05-01,487
1982-06-01,506
1982-07-01,506
1982-08-01,523
1982-09-01,584
1982-10-01,657
1982-11-01,737
1982-12-01,755
1983-01-01,863
1983-02-01,823
1983-03-01,854
1983-04-01,874
1983-05-01,959
1983-06-01,1025
1983-07-01,960
1983-08-01,923
1983-09-01,878
1983-10-01,934
1983-11-01,942
1983-12-01,939
1984-01-01,1003
1984-02-01,1141
1984-03-01,971
1984-04-01,968
1984-05-01,945
1984-06-01,931
1984-07-01,863
1984-08-01,849
1984-09-01,874
1984-10-01,834
1984-11-01,862
1984-12-01,878
1985-01-01,905
1985-02-01,969
1985-03-01,997
1985-04-01,927
1985-05-01,921
1985-06-01,945
1985-07-01,955
1985-08-01,1001
1985-09-01,963
1985-10-01,997
1985-11-01,950
1985-12-01,967
1986-01-01,1064
1986-02-01,1017
1986-03-01,1014
1986-04-01,1127
1986-05-01,1089
1986-06-01,1107
1986-07-01,1102
1986-08-01,1056
1986-09-01,1077
1986-10-01,1050
1986-11-01,1027
1986-12-01,1184
1987-01-01,1088
1987-02-01,1195
1987-03-01,1132
1987-04-01,1057
1987-05-01,1006
1987-06-01,1015
1987-07-01,996
1987-08-01,1008
1987-09-01,989
1987-10-01,960
1987-11-01,973
1987-12-01,950
1988-01-01,899
1988-02-01,991
1988-03-01,1039
1988-04-01,952
1988-05-01,988
1988-06-01,1009
1988-07-01,980
1988-08-01,1002
1988-09-01,975
1988-10-01,1023
1988-11-01,1018
1988-12-01,1050
1989-01-01,1040
1989-02-01,943
1989-03-01,860
1989-04-01,948
1989-05-01,910
1989-06-01,882
1989-07-01,913
1989-08-01,935
1989-09-01,948
1989-10-01,953
1989-11-01,986
1989-12-01,983
1990-01-01,989
1990-02-01,963
1990-03-01,912
1990-04-01,818
1990-05-01,793
1990-06-01,795
1990-07-01,775
1990-08-01,764
1990-09-01,721
1990-10-01,708
1990-11-01,682
1990-12-01,655
1991-01-01,587
1991-02-01,680
1991-03-01,694
1991-04-01,742
1991-05-01,763
1991-06-01,763
1991-07-01,787
1991-08-01,772
1991-09-01,788
1991-10-01,787
1991-11-01,789
1991-12-01,860
1992-01-01,893
1992-02-01,951
1992-03-01,897
1992-04-01,868
1992-05-01,885
1992-06-01,888
1992-07-01,884
1992-08-01,883
1992-09-01,914
1992-10-01,944
1992-11-01,945
1992-12-01,1017
1993-01-01,989
1993-02-01,953
1993-03-01,881
1993-04-01,922
1993-05-01,911
1993-06-01,932
1993-07-01,977
1993-08-01,1000
1993-09-01,1028
1993-10-01,1071
1993-11-01,1125
1993-12-01,1161
1994-01-01,1112
1994-02-01,1065
1994-03-01,1078
1994-04-01,1084
1994-05-01,1110
1994-06-01,1067
1994-07-01,1041
1994-08-01,1054
1994-09-01,1056
1994-10-01,1042
1994-11-01,1014
1994-12-01,1086
1995-01-01,967
1995-02-01,916
1995-03-01,914
1995-04-01,925
1995-05-01,958
1995-06-01,982
1995-07-01,1019
1995-08-01,1045
1995-09-01,1079
1995-10-01,1052
1995-11-01,1060
1995-12-01,1091
1996-01-01,1051
1996-02-01,1085
1996-03-01,1108
1996-04-01,1108
1996-05-01,1096
1996-06-01,1089
1996-07-01,1074
1996-08-01,1061
1996-09-01,1037
1996-10-01,1010
1996-11-01,1031
1996-12-01,1015
1997-01-01,1046
1997-02-01,1070
1997-03-01,1031
1997-04-01,1054
1997-05-01,1046
1997-06-01,1057
1997-07-01,1050
1997-08-01,1061
1997-09-01,1091
1997-10-01,1098
1997-11-01,1093
1997-12-01,1080
1998-01-01,1158
1998-02-01,1191
1998-03-01,1162
1998-04-01,1157
1998-05-01,1165
1998-06-01,1148
1998-07-01,1181
1998-08-01,1196
1998-09-01,1187
1998-10-01,1217
1998-11-01,1248
1998-12-01,1317
1999-01-01,1259
1999-02-01,1291
1999-03-01,1239
1999-04-01,1227
1999-05-01,1254
1999-06-01,1276
1999-07-01,1276
1999-08-01,1243
1999-09-01,1198
1999-10-01,1208
1999-11-01,1233
1999-12-01,1257
2000-01-01,1277
2000-02-01,1241
2000-03-01,1253
2000-04-01,1192
2000-05-01,1182
2000-06-01,1156
2000-07-01,1152
2000-08-01,1173
2000-09-01,1189
2000-10-01,1224
2000-11-01,1208
2000-12-01,1180
2001-01-01,1251
2001-02-01,1242
2001-03-01,1232
2001-04-01,1259
2001-05-01,1240
2001-06-01,1252
2001-07-01,1235
2001-08-01,1241
2001-09-01,1192
2001-10-01,1185
2001-11-01,1229
2001-12-01,1251
2002-01-01,1285
2002-02-01,1401
2002-03-01,1289
2002-04-01,1285
2002-05-01,1289
2002-06-01,1314
2002-07-01,1307
2002-08-01,1317
2002-09-01,1366
2002-10-01,1382
2002-11-01,1382
2002-12-01,1409
2003-01-01,1416
2003-02-01,1357
2003-03-01,1359
2003-04-01,1391
2003-05-01,1389
2003-06-01,1461
2003-07-01,1478
2003-08-01,1521
2003-09-01,1533
2003-10-01,1566
2003-11-01,1513
2003-12-01,1549
2004-01-01,1539
2004-02-01,1564
2004-03-01,1648
2004-04-01,1617
2004-05-01,1675
2004-06-01,1615
2004-07-01,1620
2004-08-01,1609
2004-09-01,1586
2004-10-01,1593
2004-11-01,1572
2004-12-01,1613
2005-01-01,1654
2005-02-01,1630
2005-03-01,1580
2005-04-01,1654
2005-05-01,1644
2005-06-01,1683
2005-07-01,1722
2005-08-01,1716
2005-09-01,1798
2005-10-01,1742
2005-11-01,1730
2005-12-01,1661
2006-01-01,1689
2006-02-01,1643
2006-03-01,1551
2006-04-01,1496
2006-05-01,1450
2006-06-01,1393
2006-07-01,1307
2006-08-01,1282
2006-09-01,1218
2006-10-01,1175
2006-11-01,1163
2006-12-01,1198
2007-01-01,1174
2007-02-01,1136
2007-03-01,1147
2007-04-01,1058
2007-05-01,1042
2007-06-01,995
2007-07-01,978
2007-08-01,916
2007-09-01,855
2007-10-01,821
2007-11-01,795
2007-12-01,742
2008-01-01,708
2008-02-01,664
2008-03-01,642
2008-04-01,661
2008-05-01,633
2008-06-01,605
2008-07-01,571
2008-08-01,543
2008-09-01,529
2008-10-01,469
2008-11-01,420
2008-12-01,364
2009-01-01,337
2009-02-01,377
2009-03-01,361
2009-04-01,391
2009-05-01,431
2009-06-01,458
2009-07-01,489
2009-08-01,491
2009-09-01,477
2009-10-01,472
2009-11-01,483
2009-12-01,508
2010-01-01,504
2010-02-01,510
2010-03-01,536
2010-04-01,476
2010-05-01,435
2010-06-01,425
2010-07-01,411
2010-08-01,402
2010-09-01,404
2010-10-01,408
2010-11-01,418
2010-12-01,447
2011-01-01,420
2011-02-01,379
2011-03-01,399
2011-04-01,403
2011-05-01,411
2011-06-01,413
2011-07-01,416
2011-08-01,428
2011-09-01,425
2011-10-01,439
2011-11-01,449
2011-12-01,458
2012-01-01,462.0
2012-02-01,493
2012-03-01,482.0
2012-04-01,485.0
2012-05-01,494.0
2012-06-01,501.0
2012-07-01,522.0
2012-08-01,517.0
2012-09-01,562.0
2012-10-01,568.0
2012-11-01,568.0
2012-12-01,582.0
2013-01-01,590.0
2013-02-01,612
2013-03-01,610.0
2013-04-01,620.0
2013-05-01,623.0
2013-06-01,628.0
2013-07-01,619.0
2013-08-01,635.0
2013-09-01,625.0
2013-10-01,623.0
2013-11-01,642.0
2013-12-01,602.0
2014-01-01,615.0
2014-02-01,609.0
2014-03-01,623.0
2014-04-01,620.0
2014-05-01,627.0
2014-06-01,649.0
2014-07-01,648.0
2014-08-01,650.0
2014-09-01,662.0
2014-10-01,647.0
2014-11-01,658.0
2014-12-01,670.0
2015-01-01,662.0
2015-02-01,628.0
2015-03-01,658.0
2015-04-01,679.0
2015-05-01,701.0
2015-06-01,706.0
2015-07-01,700.0
2015-08-01,718.0
2015-09-01,711.0
2015-10-01,721.0
2015-11-01,730.0
2015-12-01,719.0
2016-01-01,720.0
2016-02-01,723.0
2016-03-01,737.0
2016-04-01,753.0
2016-05-01,748.0
2016-06-01,752.0
2016-07-01,720.0
2016-08-01,751.0
2016-09-01,752.0
2016-10-01,769.0
2016-11-01,770.0
2016-12-01,809.0
2017-01-01,790.0
2017-02-01,813.0
2017-03-01,824.0
2017-04-01,793.0
2017-05-01,795.0
2017-06-01,820.0
2017-07-01,818.0
2017-08-01,817.0
2017-09-01,830.0
2017-10-01,854.0
2017-11-01,860.0
2017-12-01,861.0
2018-01-01,854.0
2018-02-01,867.0
2018-03-01,848.0
2018-04-01,863.0
2018-05-01,860.0
2018-06-01,863.0
2018-07-01,885.0
2018-08-01,838.0
2018-09-01,857.0
2018-10-01,850.0
2018-11-01,847.0
2018-12-01,812.0
2019-01-01,798.0
2019-02-01,799.0
2019-03-01,809.0
2019-04-01,797.0
2019-05-01,831.0
2019-06-01,845.0
2019-07-01,863.0
2019-08-01,904.0
2019-09-01,905.0
2019-10-01,937.0
2019-11-01,951.0
2019-12-01,937.0
2020-01-01,967.0
2020-02-01,986.0
2020-03-01,873.0
2020-04-01,666.0
2020-05-01,747.0
2020-06-01,861.0
2020-07-01,1006.0
2020-08-01,1066.0
2020-09-01,1143.0
2020-10-01,1155.0
2020-11-01,1166.0
2020-12-01,1237.0
2021-01-01,1242.0
2021-02-01,1118.0
2021-03-01,1168.0
2021-04-01,1130.0
2021-05-01,1118.0
2021-06-01,1081.0
2021-07-01,1057.0
2021-08-01,1065.0
2021-09-01,1062.0
2021-10-01,1097.0
2021-11-01,1141.0
2021-12-01,1148.0
2022-01-01,1242.0
2022-02-01,1199.0
2022-03-01,1135.0
2022-04-01,1085.0
2022-05-01,1033.0
2022-06-01,948.0
2022-07-01,918.0
2022-08-01,885.0
2022-09-01,865.0
2022-10-01,850.0
2022-11-01,795.0
2022-12-01,748.0
2023-01-01,748.0
2023-02-01,796.0
2023-03-01,829.0
2023-04-01,856.0
2023-05-01,902.0
2023-06-01,924.0
2023-07-01,930.0
2023-08-01,948.0
2023-09-01,963.0
